Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Date,Time,Payment,rating
228-96-1411,C,Arcanburg,Member,Female,Food and beverages,98.7,4,2020-04-20,20:53,Cash,10
617-15-4209,C,Nebulora Junction,Member,Male,Health and beauty,15.37,2,2020-01-07,15:30,Cash,9
132-32-9879,B,Chromewood,Member,Female,Electronic accessories,93.96,6,2020-11-28,18:27,Cash,10
370-41-7321,B,Zephyropolis,Member,Female,Health and beauty,56.69,6,2020-10-12,19:30,Credit card,10
727-46-3608,B,Serenora,Member,Female,Food and beverages,20.01,4,2020-09-07,10:39,Ewallet,7
669-54-1719,B,Zephyropolis,Member,Male,Electronic accessories,18.93,5,2020-08-14,13:36,Cash,10
574-22-5561,C,Nebulora Junction,Member,Female,Fashion accessories,82.63,7,2020-07-02,16:31,Ewallet,10
326-78-5178,C,Arcanburg,Member,Male,Food and beverages,91.4,3,2020-12-15,17:32,Cash,10
162-48-8011,A,Celestria,Member,Female,Food and beverages,44.59,4,2020-10-01,19:33,Cash,10
616-24-2851,B,Serenora,Member,Female,Fashion accessories,17.87,4,2020-04-06,11:08,Ewallet,9
778-71-5554,C,Astral Bay,Member,Female,Fashion accessories,15.43,2,2020-06-22,18:18,Credit card,9
242-55-6721,B,Aetherhaven,Normal,Male,Home and lifestyle,16.16,1,2020-12-02,10:24,Ewallet,6
399-46-5918,C,Arcanburg,Normal,Female,Electronic accessories,85.98,2,2020-09-17,13:36,Cash,7
106-35-6779,A,Novaville,Member,Male,Home and lifestyle,44.34,5,2020-06-06,18:02,Cash,9
635-40-6220,A,Veridian Springs,Normal,Male,Health and beauty,89.6,2,2020-04-01,14:04,Cash,6
817-48-8732,A,Eldoria,Member,Female,Home and lifestyle,72.35,9,2020-12-12,15:40,Cash,8
120-06-4233,C,Arcanburg,Normal,Male,Electronic accessories,30.61,5,2020-04-21,13:04,Cash,8
285-68-5083,C,Arcanburg,Member,Female,Sports and travel,24.74,3,2020-12-29,17:42,Credit card,10
803-83-5989,C,Arcanburg,Normal,Male,Home and lifestyle,55.73,7,2020-01-19,11:13,Ewallet,6
347-34-2234,B,Aetherhaven,Member,Female,Sports and travel,55.07,9,2020-02-15,15:11,Ewallet,10
199-75-8169,A,Veridian Springs,Member,Male,Sports and travel,15.81,6,2020-01-29,16:45,Cash,10
853-23-2453,B,Chromewood,Member,Female,Health and beauty,75.74,3,2020-08-10,19:17,Cash,10
877-22-3308,A,Eldoria,Member,Male,Health and beauty,15.87,9,2020-04-11,19:28,Cash,9
838-78-4295,C,Arcanburg,Normal,Female,Health and beauty,33.47,1,2020-09-16,10:42,Ewallet,6
109-28-2512,B,Zephyropolis,Member,Female,Fashion accessories,97.61,6,2020-02-11,17:31,Ewallet,10
232-11-3025,A,Eldoria,Normal,Male,Sports and travel,78.77,4,2020-04-27,20:17,Cash,6
382-03-4532,A,Eldoria,Member,Female,Health and beauty,18.33,2,2020-04-19,10:44,Cash,7
393-65-2792,C,Nebulora Junction,Normal,Male,Food and beverages,89.48,6,2020-08-12,18:07,Cash,9
796-12-2025,C,Arcanburg,Normal,Male,Fashion accessories,62.12,4,2020-01-16,15:14,Cash,6
510-95-6347,B,Aetherhaven,Member,Female,Food and beverages,48.52,1,2020-12-10,12:34,Ewallet,7
841-35-6630,C,Astral Bay,Normal,Female,Electronic accessories,75.91,5,2020-04-08,20:21,Cash,8
287-21-9091,A,Novaville,Normal,Male,Home and lifestyle,74.67,6,2020-05-14,11:29,Ewallet,8
732-94-0499,C,Arcanburg,Normal,Female,Electronic accessories,41.65,3,2020-12-07,19:58,Credit card,5
263-10-3913,C,Arcanburg,Member,Female,Fashion accessories,49.04,9,2020-12-27,14:23,Credit card,10
381-20-0914,A,Celestria,Member,Female,Fashion accessories,20.01,6,2020-06-26,17:38,Credit card,9
829-49-1914,C,Arcanburg,Member,Female,Food and beverages,78.31,7,2020-04-08,11:18,Ewallet,9
756-01-7507,C,Arcanburg,Normal,Female,Health and beauty,20.38,2,2020-12-09,18:22,Cash,6
870-72-4431,C,Nebulora Junction,Normal,Female,Health and beauty,99.19,4,2020-05-18,14:45,Credit card,6
847-38-7188,B,Zephyropolis,Normal,Female,Food and beverages,96.68,1,2020-07-09,16:44,Ewallet,6
480-63-2856,C,Nebulora Junction,Normal,Male,Food and beverages,19.25,2,2020-05-04,18:48,Cash,6
787-56-0757,C,Nebulora Junction,Member,Female,Food and beverages,80.36,7,2020-12-26,19:13,Credit card,10
360-39-5055,C,Astral Bay,Member,Female,Sports and travel,48.91,4,2020-06-12,12:29,Cash,9
730-50-9884,C,Astral Bay,Normal,Female,Sports and travel,83.06,3,2020-06-06,20:19,Ewallet,4
362-58-8315,C,Astral Bay,Normal,Female,Fashion accessories,76.52,4,2020-06-03,18:07,Cash,9
633-44-8566,A,Celestria,Member,Female,Food and beverages,49.38,4,2020-10-13,10:36,Credit card,9
504-35-8843,A,Celestria,Normal,Male,Sports and travel,42.47,1,2020-10-22,15:14,Cash,6
318-68-5053,B,Serenora,Normal,Female,Health and beauty,76.99,6,2020-01-19,18:59,Cash,6
565-80-5980,C,Nebulora Junction,Member,Female,Home and lifestyle,47.38,3,2020-03-31,17:15,Cash,9
225-32-0908,C,Arcanburg,Normal,Female,Sports and travel,44.86,8,2020-12-05,17:33,Ewallet,7
873-51-0671,A,Eldoria,Member,Female,Sports and travel,21.98,4,2020-09-14,12:50,Ewallet,8
152-08-9985,B,Aetherhaven,Member,Male,Health and beauty,64.36,6,2020-12-09,13:50,Credit card,10
512-91-0811,C,Astral Bay,Normal,Male,Health and beauty,89.75,1,2020-04-21,15:13,Credit card,6
594-34-4444,A,Eldoria,Normal,Male,Electronic accessories,97.16,1,2020-04-22,13:57,Ewallet,6
766-85-7061,B,Zephyropolis,Normal,Male,Health and beauty,87.87,2,2020-01-14,12:43,Cash,5
871-39-9221,C,Nebulora Junction,Normal,Female,Electronic accessories,12.45,1,2020-12-17,11:21,Cash,4
865-92-6136,A,Eldoria,Normal,Male,Food and beverages,52.75,6,2020-04-11,16:49,Ewallet,8
733-01-9107,B,Aetherhaven,Normal,Male,Home and lifestyle,82.7,3,2020-06-11,16:33,Cash,6
163-56-7055,C,Nebulora Junction,Member,Female,Fashion accessories,48.71,2,2020-05-24,18:37,Cash,7
189-98-2939,C,Astral Bay,Normal,Female,Fashion accessories,78.55,3,2020-10-12,11:36,Cash,6
551-21-3069,C,Nebulora Junction,Normal,Female,Electronic accessories,23.07,1,2020-09-11,15:01,Cash,5
212-62-1842,A,Veridian Springs,Normal,Male,Food and beverages,58.26,5,2020-10-29,17:41,Cash,9
716-39-1409,B,Quixoton,Normal,Male,Health and beauty,30.35,1,2020-09-25,15:43,Cash,7
704-48-3927,A,Celestria,Member,Male,Electronic accessories,88.67,7,2020-06-17,20:01,Ewallet,9
628-34-3388,C,Arcanburg,Normal,Female,Fashion accessories,27.38,4,2020-12-10,14:00,Credit card,7
630-74-5166,A,Eldoria,Normal,Male,Sports and travel,62.13,3,2020-09-18,19:36,Cash,6
588-01-7461,C,Arcanburg,Normal,Female,Food and beverages,33.98,1,2020-12-08,12:08,Cash,4
861-77-0145,C,Arcanburg,Member,Male,Electronic accessories,81.97,6,2020-08-26,20:17,Cash,10
479-26-8945,B,Serenora,Member,Female,Sports and travel,16.49,3,2020-01-16,18:38,Ewallet,8
210-67-5886,C,Astral Bay,Member,Female,Health and beauty,98.21,3,2020-02-25,13:05,Credit card,10
227-78-1148,B,Quixoton,Normal,Female,Fashion accessories,72.84,1,2020-04-22,11:59,Cash,7
645-44-1170,A,Veridian Springs,Member,Male,Home and lifestyle,58.07,3,2020-02-05,14:33,Cash,7
237-01-6122,C,Arcanburg,Member,Female,Home and lifestyle,80.79,6,2020-12-29,11:38,Credit card,10
225-98-1496,C,Arcanburg,Normal,Female,Fashion accessories,27.02,4,2020-04-18,17:26,Credit card,6
291-32-1427,B,Zephyropolis,Member,Male,Fashion accessories,21.94,4,2020-01-10,10:05,Cash,8
659-65-8956,B,Aetherhaven,Member,Female,Fashion accessories,51.36,2,2020-12-17,12:43,Ewallet,8
642-32-2990,A,Veridian Springs,Normal,Female,Food and beverages,10.96,5,2020-12-02,19:25,Ewallet,6
378-24-2715,B,Serenora,Normal,Male,Home and lifestyle,53.44,1,2020-12-01,18:03,Ewallet,4
638-60-7125,A,Novaville,Normal,Female,Electronic accessories,99.56,1,2020-11-19,16:21,Credit card,5
659-36-1684,C,Nebulora Junction,Member,Female,Sports and travel,57.12,7,2020-10-31,19:52,Credit card,9
219-22-9386,B,Aetherhaven,Member,Male,Sports and travel,99.96,4,2020-12-17,10:15,Credit card,7
336-78-2147,C,Astral Bay,Member,Male,Home and lifestyle,63.91,5,2020-10-09,12:49,Credit card,8
268-27-6179,B,Aetherhaven,Member,Female,Fashion accessories,56.47,5,2020-12-02,14:43,Ewallet,9
668-90-8900,A,Celestria,Normal,Female,Home and lifestyle,93.69,3,2020-11-08,18:24,Credit card,5
870-54-3162,A,Novaville,Normal,Female,Sports and travel,32.25,4,2020-04-03,16:31,Cash,8
189-08-9157,C,Nebulora Junction,Normal,Female,Fashion accessories,31.73,7,2020-05-10,15:22,Credit card,6
663-86-9076,C,Astral Bay,Member,Female,Food and beverages,68.54,5,2020-12-08,15:57,Ewallet,10
549-84-7482,B,Chromewood,Normal,Female,Sports and travel,90.28,7,2020-06-28,17:18,Ewallet,6
191-10-6171,B,Aetherhaven,Normal,Female,Fashion accessories,39.62,1,2020-12-23,15:01,Cash,7
802-70-5316,A,Eldoria,Member,Female,Sports and travel,92.13,5,2020-09-04,12:48,Cash,10
695-51-0018,B,Chromewood,Normal,Female,Sports and travel,34.84,1,2020-01-29,20:56,Cash,6
590-83-4591,B,Quixoton,Member,Male,Electronic accessories,87.45,6,2020-04-27,13:40,Credit card,10
483-71-1164,C,Astral Bay,Normal,Female,Health and beauty,81.3,2,2020-06-08,20:48,Ewallet,5
597-78-7908,C,Arcanburg,Normal,Female,Fashion accessories,90.22,3,2020-12-13,20:01,Cash,6
700-81-1757,A,Celestria,Normal,Male,Electronic accessories,26.31,5,2020-09-07,11:14,Credit card,8
354-39-5160,A,Eldoria,Member,Female,Home and lifestyle,34.42,8,2020-12-12,16:33,Cash,10
241-72-9525,B,Aetherhaven,Normal,Male,Sports and travel,51.91,4,2020-12-31,18:41,Cash,7
575-30-8091,A,Veridian Springs,Normal,Male,Sports and travel,72.5,7,2020-06-27,17:20,Cash,8
731-81-9469,C,Astral Bay,Member,Female,Sports and travel,89.8,7,2020-08-17,13:23,Credit card,8
280-17-4359,C,Arcanburg,Member,Male,Health and beauty,90.5,6,2020-09-07,20:52,Cash,10
338-65-2210,C,Nebulora Junction,Member,Female,Health and beauty,68.6,9,2020-04-26,16:51,Cash,10
488-25-4221,C,Astral Bay,Member,Female,Food and beverages,30.41,2,2020-07-29,18:33,Credit card,10
239-10-7476,A,Celestria,Normal,Female,Home and lifestyle,77.95,7,2020-04-19,17:56,Ewallet,7
458-41-1477,C,Nebulora Junction,Normal,Female,Health and beauty,46.26,6,2020-01-16,18:01,Credit card,9
685-64-1609,A,Celestria,Member,Female,Fashion accessories,30.14,7,2020-05-12,20:27,Ewallet,10
568-90-5112,C,Nebulora Junction,Normal,Male,Health and beauty,66.14,1,2020-01-08,19:07,Cash,6
262-47-2794,B,Quixoton,Member,Male,Home and lifestyle,71.86,5,2020-09-09,18:29,Credit card,9
238-49-0436,A,Eldoria,Normal,Male,Health and beauty,32.46,1,2020-09-01,18:34,Credit card,5
608-96-3517,B,Serenora,Member,Female,Fashion accessories,91.54,4,2020-04-29,19:38,Credit card,8
584-86-7256,C,Arcanburg,Member,Male,Sports and travel,34.56,4,2020-04-28,13:27,Credit card,9
746-94-0204,A,Eldoria,Normal,Male,Fashion accessories,83.24,4,2020-12-21,17:10,Credit card,6
214-17-6927,C,Arcanburg,Normal,Female,Food and beverages,16.48,6,2020-04-23,17:58,Ewallet,9
400-89-4171,C,Arcanburg,Normal,Female,Sports and travel,80.97,4,2020-09-17,14:15,Cash,8
782-95-9291,A,Eldoria,Member,Male,Food and beverages,92.29,5,2020-12-01,12:09,Credit card,10
279-74-2924,B,Quixoton,Member,Male,Electronic accessories,72.17,1,2020-04-06,10:13,Cash,9
307-85-2293,B,Serenora,Normal,Male,Home and lifestyle,50.28,5,2020-01-13,17:41,Ewallet,9
743-04-1105,B,Zephyropolis,Member,Male,Health and beauty,97.22,5,2020-12-28,20:08,Cash,9
423-57-2993,B,Chromewood,Normal,Male,Sports and travel,93.39,6,2020-02-07,11:35,Ewallet,9
894-41-5205,C,Nebulora Junction,Normal,Female,Food and beverages,43.18,3,2020-08-12,15:50,Credit card,7
275-28-0149,A,Celestria,Normal,Male,Sports and travel,63.69,1,2020-02-12,14:07,Cash,6
101-17-6199,A,Novaville,Normal,Male,Food and beverages,45.79,2,2020-04-22,10:39,Credit card,6
423-80-0988,C,Arcanburg,Normal,Male,Sports and travel,76.4,1,2020-09-23,12:23,Ewallet,6
548-46-9322,B,Serenora,Normal,Female,Food and beverages,39.9,5,2020-01-09,11:53,Credit card,6
505-02-0892,B,Aetherhaven,Member,Male,Health and beauty,42.57,5,2020-12-22,11:37,Ewallet,9
234-65-2137,C,Astral Bay,Normal,Male,Home and lifestyle,95.58,2,2020-11-10,14:55,Cash,5
687-47-8271,A,Eldoria,Normal,Male,Fashion accessories,98.98,7,2020-09-25,12:49,Credit card,8
796-32-9050,A,Celestria,Normal,Male,Food and beverages,51.28,3,2020-02-26,16:08,Cash,6
105-31-1824,A,Veridian Springs,Member,Male,Sports and travel,69.52,3,2020-11-27,17:34,Cash,10
249-42-3782,A,Veridian Springs,Normal,Male,Health and beauty,70.01,2,2020-04-21,10:29,Cash,6
316-55-4634,B,Aetherhaven,Member,Male,Food and beverages,80.05,5,2020-12-23,13:19,Credit card,10
733-33-4967,C,Arcanburg,Normal,Male,Electronic accessories,20.85,2,2020-04-08,18:01,Cash,6
608-27-6295,B,Chromewood,Member,Female,Electronic accessories,52.89,6,2020-01-15,13:03,Credit card,10
414-12-7047,B,Aetherhaven,Normal,Male,Food and beverages,19.79,5,2020-03-18,15:10,Ewallet,8
827-26-2100,A,Novaville,Member,Male,Home and lifestyle,33.84,6,2020-09-18,18:18,Ewallet,10
175-54-2529,A,Eldoria,Member,Male,Food and beverages,22.17,5,2020-12-17,12:40,Credit card,10
139-52-2867,C,Arcanburg,Normal,Female,Fashion accessories,22.51,1,2020-09-22,14:16,Credit card,5
407-63-8975,A,Veridian Springs,Normal,Male,Food and beverages,73.88,1,2020-10-13,18:21,Cash,4
342-65-4817,C,Astral Bay,Member,Male,Health and beauty,86.8,6,2020-09-26,19:46,Ewallet,10
130-98-8941,C,Astral Bay,Normal,Male,Fashion accessories,64.26,1,2020-05-19,16:02,Cash,6
434-83-9547,C,Arcanburg,Member,Male,Food and beverages,38.47,4,2020-09-02,19:47,Cash,10
851-28-6367,A,Eldoria,Member,Male,Sports and travel,15.5,7,2020-09-03,17:30,Ewallet,10
824-88-3614,C,Arcanburg,Normal,Male,Health and beauty,34.31,3,2020-12-10,10:21,Ewallet,6
586-25-0848,A,Celestria,Normal,Female,Sports and travel,12.34,2,2020-11-30,15:25,Credit card,6
895-66-0685,B,Aetherhaven,Member,Male,Food and beverages,18.08,3,2020-12-31,14:22,Ewallet,10
305-14-0245,B,Serenora,Member,Female,Home and lifestyle,94.49,5,2020-08-07,15:36,Ewallet,10
732-04-5373,B,Chromewood,Member,Male,Home and lifestyle,46.47,3,2020-08-28,14:36,Cash,9
400-60-7251,A,Celestria,Normal,Male,Home and lifestyle,74.07,2,2020-10-09,16:48,Ewallet,9
593-65-1552,C,Arcanburg,Normal,Female,Home and lifestyle,69.81,2,2020-04-23,20:53,Credit card,6
284-34-9626,B,Chromewood,Normal,Female,Home and lifestyle,77.04,1,2020-03-27,10:44,Credit card,6
437-58-8131,B,Serenora,Normal,Female,Fashion accessories,73.52,1,2020-06-01,15:18,Ewallet,5
286-43-6208,C,Arcanburg,Normal,Female,Food and beverages,87.8,8,2020-12-19,19:29,Cash,8
641-43-2399,B,Chromewood,Normal,Male,Home and lifestyle,25.55,2,2020-09-24,16:45,Ewallet,6
831-07-6050,A,Veridian Springs,Normal,Male,Electronic accessories,32.71,4,2020-07-22,13:01,Cash,9
556-86-3144,C,Astral Bay,Member,Female,Fashion accessories,74.29,1,2020-12-08,19:52,Cash,8
848-24-9445,C,Astral Bay,Member,Female,Health and beauty,43.7,2,2020-03-11,15:54,Cash,8
856-22-8149,A,Eldoria,Normal,Female,Home and lifestyle,25.29,1,2020-04-02,11:34,Ewallet,6
699-01-4164,C,Arcanburg,Normal,Male,Health and beauty,41.5,2,2020-12-07,15:07,Credit card,7
420-11-4919,C,Arcanburg,Member,Female,Food and beverages,71.39,5,2020-09-17,10:04,Credit card,9
606-80-4905,C,Astral Bay,Member,Female,Sports and travel,19.15,9,2020-01-18,18:45,Credit card,9
542-41-0513,B,Quixoton,Member,Female,Electronic accessories,57.49,3,2020-09-23,20:28,Cash,9
426-39-2418,C,Astral Bay,Normal,Male,Electronic accessories,61.41,3,2020-08-07,10:59,Cash,9
875-46-5808,B,Chromewood,Member,Male,Health and beauty,25.9,7,2020-08-24,15:30,Ewallet,10
394-43-4238,B,Quixoton,Member,Male,Home and lifestyle,17.77,8,2020-04-04,16:42,Credit card,8
749-24-1565,A,Celestria,Normal,Female,Health and beauty,23.03,4,2020-12-18,18:03,Ewallet,7
672-51-8681,C,Astral Bay,Member,Female,Electronic accessories,66.65,6,2020-07-08,20:14,Credit card,10
263-87-5680,C,Arcanburg,Member,Female,Home and lifestyle,28.53,7,2020-09-11,20:41,Ewallet,10
573-58-9734,B,Quixoton,Normal,Female,Fashion accessories,30.37,1,2020-04-03,18:58,Ewallet,5
817-69-8206,B,Serenora,Normal,Male,Electronic accessories,99.73,4,2020-02-26,20:26,Credit card,6
888-02-0338,A,Celestria,Normal,Male,Electronic accessories,26.23,7,2020-12-19,18:34,Ewallet,6
677-11-0152,C,Astral Bay,Normal,Female,Food and beverages,93.26,5,2020-07-15,15:17,Cash,8
142-63-6033,B,Serenora,Normal,Male,Home and lifestyle,92.36,1,2020-08-17,18:07,Cash,5
656-16-1063,B,Aetherhaven,Normal,Male,Sports and travel,46.42,2,2020-12-05,19:47,Credit card,4
891-58-8335,B,Aetherhaven,Member,Female,Sports and travel,29.61,3,2020-12-14,19:07,Cash,9
802-43-8934,A,Eldoria,Normal,Male,Home and lifestyle,18.28,3,2020-04-05,20:45,Credit card,7
560-30-5617,B,Serenora,Normal,Female,Sports and travel,24.77,4,2020-11-10,14:48,Cash,8
319-74-2561,A,Eldoria,Member,Female,Electronic accessories,94.64,2,2020-12-17,18:46,Cash,9
549-03-9315,B,Serenora,Normal,Male,Fashion accessories,94.87,5,2020-12-18,16:43,Ewallet,8
790-29-1172,B,Serenora,Normal,Female,Food and beverages,57.34,1,2020-12-10,16:59,Credit card,7
239-36-3640,B,Aetherhaven,Normal,Male,Electronic accessories,45.35,4,2020-12-15,16:43,Ewallet,6
468-01-2051,B,Chromewood,Normal,Female,Food and beverages,62.08,1,2020-10-22,14:43,Ewallet,5
389-25-3394,C,Arcanburg,Normal,Male,Electronic accessories,11.81,4,2020-10-20,15:38,Cash,8
279-62-1445,C,Arcanburg,Member,Female,Fashion accessories,12.54,1,2020-09-10,12:43,Cash,10
213-72-6612,A,Eldoria,Normal,Male,Food and beverages,43.25,3,2020-12-12,13:33,Cash,6
746-68-6593,C,Astral Bay,Member,Female,Sports and travel,87.16,6,2020-02-23,15:16,Credit card,10
836-82-5858,B,Zephyropolis,Member,Male,Health and beauty,69.37,3,2020-03-06,12:32,Cash,7
583-72-1480,C,Nebulora Junction,Member,Male,Electronic accessories,37.06,3,2020-11-04,11:41,Cash,10
466-61-5506,B,Aetherhaven,Member,Female,Electronic accessories,90.7,8,2020-12-12,15:30,Cash,8
721-86-6247,A,Veridian Springs,Normal,Female,Home and lifestyle,63.42,3,2020-10-13,20:36,Ewallet,6
289-65-5721,B,Serenora,Normal,Female,Fashion accessories,81.37,1,2020-07-21,16:38,Cash,6
545-46-3100,B,Serenora,Member,Female,Electronic accessories,10.59,6,2020-09-27,15:20,Credit card,10
418-02-5978,B,Zephyropolis,Normal,Female,Health and beauty,84.09,3,2020-04-17,12:29,Cash,7
269-04-5750,B,Quixoton,Member,Male,Fashion accessories,73.82,3,2020-09-21,19:16,Cash,9
157-13-5295,A,Veridian Springs,Member,Female,Health and beauty,51.94,7,2020-10-12,20:53,Ewallet,9
645-78-8093,A,Eldoria,Normal,Female,Sports and travel,93.14,2,2020-12-13,15:18,Ewallet,4
211-30-9270,C,Nebulora Junction,Normal,Male,Health and beauty,17.41,3,2020-03-22,16:22,Cash,5
755-12-3214,C,Nebulora Junction,Member,Female,Fashion accessories,44.22,8,2020-02-02,15:33,Credit card,10
346-84-3103,B,Serenora,Member,Male,Electronic accessories,13.22,5,2020-08-09,19:58,Cash,7
478-06-7835,A,Celestria,Normal,Female,Fashion accessories,89.69,1,2020-05-23,15:23,Ewallet,5
540-11-4336,A,Eldoria,Normal,Male,Food and beverages,24.94,4,2020-09-09,15:26,Credit card,6
448-81-5016,A,Celestria,Normal,Male,Health and beauty,59.77,1,2020-09-10,15:03,Credit card,6
142-72-4741,C,Nebulora Junction,Member,Female,Fashion accessories,93.2,3,2020-01-06,11:45,Credit card,9
217-58-1179,A,Eldoria,Member,Male,Home and lifestyle,62.65,1,2020-12-21,18:10,Cash,7
376-02-8238,B,Serenora,Normal,Female,Home and lifestyle,93.87,3,2020-02-11,14:53,Credit card,7
530-90-9855,A,Celestria,Member,Male,Home and lifestyle,47.59,7,2020-06-06,16:04,Cash,9
866-05-7563,B,Chromewood,Member,Male,Electronic accessories,81.4,2,2020-02-19,19:22,Cash,8
604-70-6476,A,Eldoria,Member,Male,Fashion accessories,17.94,5,2020-04-06,20:18,Ewallet,9
799-71-1548,A,Celestria,Member,Male,Electronic accessories,77.72,4,2020-12-07,19:22,Credit card,10
785-13-7708,B,Quixoton,Normal,Male,Food and beverages,73.06,3,2020-04-04,14:02,Credit card,4
845-51-0542,B,Quixoton,Member,Male,Food and beverages,46.55,6,2020-09-01,10:58,Ewallet,9
662-47-5456,C,Arcanburg,Member,Male,Fashion accessories,35.19,7,2020-04-21,10:00,Credit card,10
883-17-4236,C,Astral Bay,Normal,Female,Sports and travel,14.39,1,2020-06-19,18:17,Credit card,6
290-68-2984,A,Novaville,Normal,Male,Home and lifestyle,23.75,1,2020-11-05,12:42,Cash,5
704-11-6354,A,Eldoria,Member,Male,Home and lifestyle,58.9,4,2020-12-16,16:09,Cash,10
110-48-7033,B,Chromewood,Member,Female,Fashion accessories,32.62,6,2020-09-26,15:20,Cash,10
366-93-0948,A,Veridian Springs,Member,Male,Electronic accessories,66.35,4,2020-06-06,16:34,Cash,10
729-09-9681,A,Novaville,Member,Female,Home and lifestyle,25.91,6,2020-02-25,14:07,Ewallet,10
